key_id,mid,following_num,follower_num
493,79061224,246,4914896
494,1774743152,2,638304
495,416998409,185,188388
496,1160819964,30,44835
497,662658732,13,1691654
498,8091465,60,160517
499,26032219,489,2555484
500,43904118,81,50005
501,490818349,58,212276
502,43219807,116,1689729
503,3493145541085453,55,87089
504,549772707,4,1051907
505,4624257,239,124985
506,102876616,154,32523
507,1837252267,112,124148
508,18121721,3,122063
509,568699244,7,1126853
510,1937416537,11,541334
511,2851020,477,423931
512,9824645,423,296215
513,378910781,274,13149
514,3493274257983521,3,2270
515,12029477,118,74124
516,515946106,36,823918
517,3461565017754459,32,1393886
518,600428973,31,436977
519,433351,59,3159165
520,3537108597738449,1,18117
521,514924891,2,1082379
522,621704765,7,145133
523,399655394,192,47139
524,1031346780,1,20770
525,19525533,185,1962281
526,219450887,16,119460
527,689513531,0,8839
528,528461028,21,1549193
